skiier_id,age_class,start_group,smagan,mangsbodarna,risberg,evertsberg,oxberg,hokberg,eldris,mora
7844,21,2,2944,5700,7954,10948,14091,16176,18630,20607
5437,60,10,6022,11010,15786,21178,26910,31244,35391,38810
6170,50,7,4422,8043,11017,14678,18673,21594,24647,26956
8981,40,1,2132,4471,6392,8835,11237,13046,14754,16426
12255,50,10,6817,11011,14468,19306,24023,27030,30243,32787
3066,45,10,6007,11131,15845,21738,27371,31075,34664,38210
5457,50,6,4217,7561,10220,13723,17622,20337,22894,25220
1106,55,6,3750,7221,10124,13619,17656,20303,23069,25198
5654,21,5,4212,7622,10397,13963,17962,20626,23415,25671
13533,35,3,3116,5893,8258,11386,14446,16686,18777,20463
10172,35,5,4186,7615,10365,13913,17894,20648,23368,25700
1716,45,4,3331,6283,8668,11765,15002,17235,19490,21618
8445,60,3,3244,5985,8395,11330,14416,16558,18800,20687
7329,55,4,3312,6187,8579,11697,15082,17244,19539,21545
11945,21,8,5594,9794,13317,17602,22616,25877,29371,32063
2358,21,2,3086,5737,7815,10625,13402,15351,17292,19065
5263,21,6,5126,9327,12918,17410,22420,25996,29389,32392
81,21,8,5253,9172,12816,16855,21380,24404,27642,30172
8243,45,4,3666,6581,8816,11663,14835,16792,19067,20969
6088,60,5,4635,8158,10964,14408,18160,20839,23318,25646
3442,55,3,2611,5441,7818,10807,13887,16078,18319,20200
584,50,4,3081,6017,8456,11653,14708,16709,18981,20758
3090,35,3,2990,5933,8513,11693,14873,17069,19322,21224
11270,21,3,3103,6015,8321,11400,14221,16293,18635,20356
5064,50,3,2565,5176,7327,10055,13008,15060,17136,19086
10321,50,2,2420,4894,6930,9553,12154,14057,15805,17425
11559,21,7,4718,8960,12342,16605,21630,25086,28436,30942
8528,45,10,6006,10771,14930,20283,26252,30900,35963,39463
7607,50,6,4326,8154,11379,15522,19791,23052,26010,28362
770,35,7,4681,8636,11940,16274,20971,24404,27969,30683
4208,40,10,7361,12457,17162,22797,28462,32440,36586,40243
6648,60,8,5486,10133,14203,19106,24345,27808,31537,34391
7961,40,10,6803,11518,15815,21233,26779,30423,34180,37349
4485,45,8,5493,9650,13283,17701,22458,25447,28721,31373
11484,21,2,2492,5176,7442,10417,13520,15733,18061,19936
11260,21,1,1992,4373,6196,8444,10969,12747,14802,16421
7854,35,3,3524,6438,8786,11917,15007,17250,19528,21407
8341,65,7,4989,8943,12519,16936,21755,25158,28458,31184
9850,35,9,6280,11565,16268,21904,28000,31792,35529,38927
4544,40,10,6719,11821,16677,22222,27841,31335,35311,38600
42,21,7,5058,8829,12098,16596,21537,24772,28075,30687
12048,40,8,6171,10757,14858,19853,24660,28157,31969,35059
1001,45,2,2728,5447,7839,10696,13681,15760,18004,19920
10069,35,4,3554,6757,9270,12524,15845,18250,20619,22636
778,40,6,4339,8061,11158,14932,19005,22085,24644,26974
11476,55,5,3834,7210,10232,13616,17510,20187,22684,24966
912,45,6,3922,7429,10275,14129,18323,21048,23880,26152
8868,70,5,5003,9962,14689,20642,26478,30487,34669,38847
4358,45,4,3268,6354,8843,12031,15493,17929,20465,22621
5936,40,7,5501,9154,12218,16009,20374,23374,26253,28722
9310,35,6,4392,7746,10445,13643,17211,19676,22253,24262
821,35,6,4593,8206,11319,15190,19240,22083,25021,27548
9700,21,10,6787,11921,16408,22365,28109,31762,35833,39377
11471,35,7,4924,9324,13482,19123,24943,28594,32431,35411
10335,21,6,4234,7831,10900,14696,18663,21792,24775,27514
649,35,5,3276,6197,8565,11513,14861,17096,19208,21307
6661,40,2,2731,5472,7805,10780,13866,15875,18093,19932
9561,40,6,4208,7871,10902,14762,18703,21711,24976,27497
11771,40,6,6229,11366,16208,22097,27965,31923,35871,39526
4118,55,6,3943,7635,10783,14626,19065,22204,25110,27690
13001,21,10,6741,11051,14821,19460,24615,27953,31380,34384
1164,65,6,4578,8285,11229,14794,18850,21503,24498,26947
685,21,9,5827,10205,14028,18784,23932,27481,31014,33999
11287,35,9,5263,10032,15486,21681,27853,31701,35750,39220
4844,55,6,3768,7081,9763,13017,16516,19157,21820,24199
7157,21,5,4337,7737,10236,13708,17574,20396,23085,25285
